price,rating
54999.00,89.00
19989.00,81.00
16499.00,75.00
14999.00,81.00
24999.00,82.00
16999.00,80.00
65999.00,81.00
29999.00,86.00
26749.00,85.00
28999.00,84.00
18999.00,82.00
18999.00,79.00
24762.00,79.00
16990.00,80.00
114990.00,
62999.00,79.00
9999.00,65.00
45999.00,86.00
32999.00,86.00
14499.00,72.00
39999.00,85.00
35999.00,85.00
14999.00,80.00
17859.00,76.00
42990.00,87.00
31239.00,88.00
21995.00,84.00
129990.00,76.00
27999.00,83.00
69999.00,
19999.00,84.00
20999.00,81.00
27990.00,83.00
38999.00,73.00
23790.00,85.00
39999.00,87.00
29990.00,87.00
91999.00,
32999.00,83.00
28499.00,83.00
21999.00,83.00
19999.00,83.00
18999.00,87.00
27999.00,85.00
18499.00,80.00
17478.00,81.00
11936.00,76.00
8950.00,64.00
12489.00,68.00
42999.00,
18999.00,79.00
29999.00,82.00
11990.00,64.00
18999.00,83.00
13999.00,74.00
14965.00,75.00
74999.00,82.00
10999.00,78.00
84990.00,89.00
10499.00,75.00
17990.00,78.00
29990.00,85.00
18499.00,79.00
16499.00,75.00
14999.00,81.00
35499.00,86.00
60999.00,89.00
32999.00,87.00
15999.00,78.00
99990.00,
9499.00,62.00
27994.00,86.00
13989.00,75.00
44999.00,85.00
13999.00,79.00
6190.00,
119900.00,83.00
27660.00,83.00
24999.00,75.00
8388.00,66.00
15999.00,83.00
20999.00,82.00
13999.00,75.00
19990.00,83.00
13999.00,75.00
22999.00,83.00
22999.00,79.00
16999.00,79.00
14290.00,80.00
41999.00,
13489.00,69.00
22990.00,83.00
16499.00,84.00
73999.00,
9999.00,67.00
12499.00,75.00
12499.00,72.00
59999.00,88.00
106990.00,
15990.00,78.00
119990.00,75.00
19999.00,83.00
23990.00,83.00
12999.00,80.00
19990.00,82.00
58990.00,
43999.00,87.00
49999.00,86.00
15999.00,79.00
36999.00,87.00
39999.00,85.00
51999.00,74.00
22999.00,82.00
31999.00,87.00
6171.00,
29340.00,83.00
25289.00,87.00
21788.00,78.00
69999.00,83.00
70990.00,88.00
34999.00,89.00
33900.00,85.00
29999.00,71.00
18999.00,84.00
19499.00,84.00
24994.00,83.00
10999.00,78.00
24999.00,85.00
25999.00,82.00
34990.00,69.00
13466.00,74.00
9999.00,76.00
7999.00,71.00
28249.00,86.00
16499.00,82.00
22999.00,87.00
46999.00,75.00
13999.00,74.00
13490.00,78.00
28999.00,82.00
15499.00,78.00
39999.00,86.00
12999.00,76.00
4499.00,
14999.00,69.00
8499.00,68.00
24990.00,83.00
16999.00,84.00
9589.00,71.00
40999.00,74.00
19988.00,79.00
11999.00,75.00
142990.00,79.00
30990.00,87.00
19499.00,85.00
4990.00,
5299.00,
25969.00,82.00
28999.00,82.00
94990.00,
14999.00,81.00
14999.00,74.00
129900.00,84.00
58990.00,88.00
41990.00,88.00
10999.00,74.00
11999.00,79.00
16999.00,79.00
30990.00,83.00
17999.00,75.00
5499.00,
20499.00,83.00
20490.00,81.00
15490.00,77.00
29990.00,61.00
15499.00,79.00
11999.00,80.00
10999.00,74.00
21990.00,82.00
31999.00,85.00
11999.00,77.00
36999.00,89.00
6999.00,62.00
39999.00,89.00
14999.00,78.00
14499.00,79.00
27999.00,84.00
20499.00,86.00
8099.00,60.00
10999.00,65.00
3499.00,63.00
9990.00,
34999.00,85.00
46999.00,
39999.00,88.00
11828.00,70.00
45999.00,86.00
18999.00,81.00
17999.00,84.00
8499.00,66.00
17999.00,76.00
14450.00,75.00
54999.00,
71999.00,
12999.00,79.00
11499.00,75.00
35999.00,87.00
34999.00,76.00
11999.00,73.00
27994.00,82.00
139990.00,77.00
39999.00,86.00
15499.00,79.00
18999.00,80.00
10999.00,73.00
27999.00,81.00
81999.00,
9999.00,74.00
31994.00,85.00
9299.00,65.00
29990.00,84.00
25900.00,78.00
16999.00,78.00
24999.00,85.00
12188.00,79.00
8999.00,
7499.00,68.00
17999.00,79.00
24999.00,79.00
45999.00,86.00
65499.00,
58990.00,89.00
11999.00,74.00
11999.00,77.00
18990.00,76.00
14499.00,77.00
106990.00,
10499.00,66.00
26990.00,86.00
19990.00,82.00
24999.00,89.00
13969.00,69.00
44999.00,83.00
24999.00,84.00
53100.00,86.00
16999.00,81.00
21899.00,82.00
75999.00,82.00
25999.00,85.00
46990.00,84.00
9999.00,75.00
49999.00,89.00
17999.00,87.00
16940.00,80.00
17990.00,81.00
20990.00,84.00
51999.00,79.00
64449.00,87.00
8990.00,71.00
19999.00,77.00
13499.00,79.00
15499.00,78.00
6499.00,65.00
71999.00,60.00
36499.00,89.00
15999.00,78.00
31994.00,87.00
34999.00,84.00
18999.00,81.00
39990.00,88.00
